country_code,name,path,sha,download_url
cv,cv.json,tv/raw/countries/cv.json,22e2b5a4cdfec27cdd4c5f99bee0194accfb8ffa,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/cv.json
cw,cw.json,tv/raw/countries/cw.json,1735c8d9c37d613db8ed4a0120e2e9ec66bf321f,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/cw.json
cy,cy.json,tv/raw/countries/cy.json,8d1881f3b612289aa511fcbddeafec45df252276,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/cy.json
cz,cz.json,tv/raw/countries/cz.json,bc7787ac8528eff5c79722c4faf19a0a7e0f1ff9,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/cz.json
de,de.json,tv/raw/countries/de.json,a664b0d909484bbb748fe7ff56b940a6386318a8,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/de.json
dj,dj.json,tv/raw/countries/dj.json,515a1a3b7188c8ac1561f6d3a9a82c2117f58904,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/dj.json
dk,dk.json,tv/raw/countries/dk.json,74f1074a4c5676711d7a0476946802a60b48b85a,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/dk.json
do,do.json,tv/raw/countries/do.json,df9907d4ba291c6515c01a9c5f1c79443afb8f73,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/do.json
dz,dz.json,tv/raw/countries/dz.json,7682ee37c59ce854a7858014d799949a2b9bb714,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/dz.json
ec,ec.json,tv/raw/countries/ec.json,04ada8a794913a0014df7aaf7595e3bb1d4d63e0,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/ec.json
ee,ee.json,tv/raw/countries/ee.json,f5b0335e2295c7822bb214456e309dbce7a611a2,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/ee.json
eg,eg.json,tv/raw/countries/eg.json,fd0d583b4e4786353b6becfb2997f40c77430eda,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/eg.json
eh,eh.json,tv/raw/countries/eh.json,3996f82cc3f45f1e0849ea08e766b22d0176b6ef,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/eh.json
er,er.json,tv/raw/countries/er.json,1dc4a830b4b7875cd5b7f0e631d2dbe1cdc286cd,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/er.json
es,es.json,tv/raw/countries/es.json,058ad2640c7ead899bb5ecef1ee18d60f1cf7102,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/es.json
fi,fi.json,tv/raw/countries/fi.json,bcb943b6f19ab12e7dabde5e48db7fe8d175b17e,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/fi.json
fo,fo.json,tv/raw/countries/fo.json,f016d2508c88efed7725f0c2eaa85073906e1bd4,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/fo.json
fr,fr.json,tv/raw/countries/fr.json,a3f28e05adf8d2cd886d5111e7dd27c6a86aa47b,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/fr.json
gb,gb.json,tv/raw/countries/gb.json,e19c6abf446d7391226e1b96ef8971aae33d9c9d,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/gb.json
ge,ge.json,tv/raw/countries/ge.json,aa837e3ef85dbf92adc9c010ab1df7e8e72ba0b2,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/ge.json
gf,gf.json,tv/raw/countries/gf.json,b6b7e2532f082f75b077f465adf6a12677bfc10e,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/gf.json
gh,gh.json,tv/raw/countries/gh.json,44de2d84686abbcfd6c7497e03df6d5e3c333dad,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/gh.json
gl,gl.json,tv/raw/countries/gl.json,b937389b8440cd2e21fbebec68477e009af0e5b4,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/gl.json
gm,gm.json,tv/raw/countries/gm.json,06bb153efd5f7fc67d8c08cac680659c539c826b,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/gm.json
