Dato,Resultat,Modstander,Spillested,Kamptype,Køn,Hold,Tilskuere,date
06-09-2011,2 - 0,Norge,Parken,EM-kvalifikationskamp,Herrer,A-Landshold,37134,2011-09-06
06-09-2011,3 - 0,Nordirland,The Oval,EM-kvalifikationskamp,Herrer,U21-landshold,0,2011-09-06
06-09-2012,1 - 1,Irland,Frank Cooke Park,Testkamp,Kvinder,U17-landshold,0,2012-09-06
06-09-2012,2 - 1,Sverige,Falkenbergs IP,International turnering,Herrer,U19-landshold,230,2012-09-06
06-09-2013,1 - 3,Norge,Brøndby Stadion,Internordisk turnering,Herrer,U19-landshold,224,2013-09-06
06-09-2013,2 - 1,Malta,Ta'Qali National Stadium,VM-kvalifikationskamp,Herrer,A-Landshold,5576,2013-09-06
06-09-2013,2 - 2,Schweiz,Stade De Coppet,Testkamp,Herrer,U18-landshold,135,2013-09-06
06-09-2013,6 - 0,Andorra,Aalborg Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,2422,2013-09-06
06-09-2014,2 - 1,Sverige,NA,Testkamp,Herrer,U19-landshold,340,2014-09-06
06-09-2016,2 - 0,Montenegro,Nakskov Idrætspark,Testkamp,Herrer,U17-landshold,837,2016-09-06
06-09-2016,3 - 1,Rumænien,Aalborg Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,4500,2016-09-06
06-09-2016,3 - 1,Sverige,Idrætscenter Nyborg,Testkamp,Herrer,U19-landshold,1342,2016-09-06
06-09-2018,3 - 3,Israel,National Team Complex,Testkamp,Herrer,U18-landshold,54,2018-09-06
06-09-2019,0 - 0,Ungarn,Aalborg Stadion,Testkamp,Herrer,U21-landshold,600,2019-09-06
06-09-2019,3 - 3,Wales,Nakskov Idrætspark,International turnering,Herrer,U19-landshold,326,2019-09-06
06-09-2020,0 - 0,Tyskland,Ernst-Wagener-Stadion,Testkamp,Herrer,U19-landshold,34,2020-09-06
06-09-2021,1 - 0,Østrig,Frederikshavn Stadion,Testkamp,Herrer,U17-landshold,390,2021-09-06
06-09-2022,3 - 0,Østrig,Estádio Nacional,Testkamp,Kvinder,U19-landshold,0,2022-09-06
06-09-2022,NA,Rusland,NA,AFLYST,Kvinder,A-Landshold,0,2022-09-06
06-10-1912,3 - 1,Tyskland,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,10000,1912-10-06
06-10-1918,4 - 0,Norge,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,16000,1918-10-06
06-10-1935,5 - 1,Finland,Københavns Idrætspark,NM,Herrer,A-Landshold,27000,1935-10-06
06-10-1940,1 - 1,Sverige,Råsunda,Testkamp,Herrer,A-Landshold,35902,1940-10-06
06-10-1946,3 - 3,Sverige,Gamla Ullevi,Testkamp,Herrer,A-Landshold,29954,1946-10-06
06-10-1963,0 - 0,Sverige,NA,Testkamp,Herrer,U21-landshold,2200,1963-10-06
06-10-1963,2 - 2,Sverige,Københavns Idrætspark,NM,Herrer,A-Landshold,50000,1963-10-06
06-10-1963,2 - 6,Sverige,Studenternas Idrottsplats,Testkamp,Herrer,B-Landshold,7308,1963-10-06
06-10-1990,1 - 1,Italien,NA,EM-kvalifikationskamp,Kvinder,A-Landshold,700,1990-10-06
06-10-1993,1 - 1,Norge,Roskilde Idrætspark,EM-kvalifikationskamp,Herrer,U19-landshold,550,1993-10-06
06-10-1998,2 - 0,Belgien,NA,International turnering,Herrer,U19-landshold,0,1998-10-06
06-10-2000,3 - 0,Nordirland,NA,EM-kvalifikationskamp,Herrer,U21-landshold,1434,2000-10-06
06-10-2001,6 - 0,Island,Parken,VM-kvalifikationskamp,Herrer,A-Landshold,41769,2001-10-06
06-10-2015,0 - 2,Ungarn,Skive Stadion,Testkamp,Herrer,U16-landshold,1845,2015-10-06
06-10-2016,3 - 1,Finland,Eerikkilä Arena,Testkamp,Herrer,U20-landshold,156,2016-10-06
06-10-2016,4 - 0,Schweiz,NA,Testkamp,Herrer,U19-landshold,138,2016-10-06
06-10-2017,5 - 2,Georgien,Aalborg Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,2500,2017-10-06
06-10-2018,1 - 1,Spanien,East End Park,UEFA turnering,Kvinder,U19-landshold,103,2018-10-06
06-10-2019,3 - 2,Kina,Changshu Sports Center,International turnering,Herrer,Futsallandsholdet,3221,2019-10-06
06-10-2021,2 - 0,Grækenland,Pampeloponnisiako Stadium,EM-kvalifikationskamp,Kvinder,U17-landshold,50,2021-10-06
06-10-2021,2 - 0,Montenegro,Hibernians Ground,EM-kvalifikationskamp,Herrer,U17-landshold,48,2021-10-06
06-10-2021,2 - 0,Nordirland,Stadion Stovky,EM-kvalifikationskamp,Herrer,U19-landshold,0,2021-10-06
06-10-2022,1 - 5,Rumænien,City Hall Arena,VM-kvalifikationskamp,Herrer,Futsallandsholdet,1432,2022-10-06
06-11-1966,1 - 2,Sverige,Råsunda,NM,Herrer,A-Landshold,16780,1966-11-06
06-11-1974,0 - 0,Skotland,Næstved Stadion,EM-kvalifikationskamp,Herrer,U19-landshold,450,1974-11-06
06-11-1982,1 - 0,Belgien,Tårnby Stadion,EM-kvalifikationskamp,Kvinder,A-Landshold,300,1982-11-06
06-11-1990,1 - 0,Irland,Vejen Stadion,EM-kvalifikationskamp,Herrer,U17-landshold,500,1990-11-06
06-11-1991,1 - 4,Grækenland,NA,EM-kvalifikationskamp,Herrer,U17-landshold,5000,1991-11-06
06-11-1998,5 - 0,Polen,NA,EM-kvalifikationskamp,Kvinder,U19-landshold,0,1998-11-06
06-11-2000,6 - 0,Østrig,Nykøbing F. Idrætspark,EM-kvalifikationskamp,Kvinder,U19-landshold,0,2000-11-06
06-11-2004,3 - 1,USA,Lincoln Financial Field,Testkamp,Kvinder,A-Landshold,14812,2004-11-06
06-11-2017,2 - 3,Tyskland,SPAR NORD ARENA,Testkamp,Kvinder,U16-landshold,526,2017-11-06
06-11-2019,1 - 4,Holland,Sportspark Parkzicht,Testkamp,Kvinder,U23-landshold,0,2019-11-06
06-12-1959,1 - 2,Bulgarien,Vasilij Levski,Testkamp,Herrer,A-Landshold,30000,1959-12-06
06-12-2012,2 - 3,England,NA,Testkamp,Herrer,Futsallandsholdet,0,2012-12-06
06-12-2013,4 - 6,Norge,Pricerunner Arena,Nordic Futsal Cup,Herrer,Futsallandsholdet,700,2013-12-06
06-12-2017,4 - 3,Sverige,Stjørdalshallen,Nordic Futsal Cup,Herrer,Futsallandsholdet,0,2017-12-06
06-12-2018,2 - 1,Norge,Ringkøbing-Skjern Kulturcenter,Nordic Futsal Cup,Herrer,Futsallandsholdet,0,2018-12-06
06-12-2019,1 - 2,Holland,"NIVO Sparta, Sportpark De Watertoren",Testkamp,Kvinder,U17-landshold,88,2019-12-06
07-01-1987,2 - 1,Cypern,NA,EM-kvalifikationskamp,Herrer,U17-landshold,300,1987-01-07
07-01-2017,0 - 2,Israel,Žatika Sport Center,International turnering,Herrer,Futsallandsholdet,0,2017-01-07
07-02-1996,1 - 2,USA,NA,Testkamp,Herrer,U21-landshold,1215,1996-02-07
07-02-2005,1 - 1,Kina,Meihu Stadium,Testkamp,Kvinder,A-Landshold,2000,2005-02-07
07-02-2007,3 - 1,Hollands U/23-landshold,Polman Stadium,Uofficiel landskamp,Herrer,U21-landshold,5700,2007-02-07
07-02-2013,0 - 1,Norge,La Manga,International turnering,Herrer,U17-landshold,266,2013-02-07
07-03-2000,0 - 0,Slovakiet,NA,Algarve Cup,Herrer,U17-landshold,0,2000-03-07
07-03-2000,0 - 2,Sverige,NA,International turnering,Herrer,U16-landshold,0,2000-03-07
07-03-2002,2 - 3,USA,Campo da Nora,Algarve Cup,Kvinder,A-Landshold,150,2002-03-07
07-03-2005,1 - 2,Frankrig,La Manga,International turnering,Kvinder,U19-landshold,0,2005-03-07
07-03-2007,4 - 0,Frankrig,Estádio Dr. Fracisco Vieira,Algarve Cup,Kvinder,A-Landshold,112,2007-03-07
07-03-2008,1 - 0,Sverige,Estádio Municipal,Algarve Cup,Kvinder,A-Landshold,185,2008-03-07
07-03-2011,0 - 1,Island,Estadio Algarve,Algarve Cup,Kvinder,A-Landshold,36,2011-03-07
07-03-2012,3 - 1,Island,Estadio Da Nora,Algarve Cup,Kvinder,A-Landshold,54,2012-03-07
07-03-2013,0 - 0,Sverige,La Manga,Testkamp,Kvinder,U19-landshold,25,2013-03-07
07-03-2013,1 - 1,Belgien,KVV Thes Sport,EM-kvalifikationskamp,Kvinder,U17-landshold,187,2013-03-07
07-03-2014,0 - 1,Japan,NA,Algarve Cup,Kvinder,A-Landshold,55,2014-03-07
07-03-2015,1 - 1,Norge,La Manga,Testkamp,Kvinder,U19-landshold,54,2015-03-07
07-03-2016,1 - 2,Belgien,Estadio Municipal,Algarve Cup,Kvinder,A-Landshold,0,2016-03-07
07-03-2016,3 - 0,England,La Manga,Testkamp,Kvinder,U19-landshold,43,2016-03-07
07-03-2017,1 - 0,Norge,La Manga,Testkamp,Kvinder,U19-landshold,0,2017-03-07
07-03-2018,5 - 6,Island,V. Real de Sto. Antonio,Algarve Cup,Kvinder,A-Landshold,0,2018-03-07
07-03-2020,2 - 1,Sverige,Estádio Municipal,Algarve Cup,Kvinder,A-Landshold,203,2020-03-07
07-04-1976,0 - 1,Vesttyskland,NA,Testkamp,Herrer,U21-landshold,2500,1976-04-07
07-04-1980,4 - 0,Luxembourg,NA,International turnering,Herrer,U16-landshold,0,1980-04-07
07-04-1989,1 - 0,Skotland,NA,International turnering,Herrer,U17-landshold,4000,1989-04-07
07-04-1998,0 - 2,Ungarn,NA,Testkamp,Herrer,U16-landshold,0,1998-04-07
07-04-2007,2 - 0,Castelo Branco U/18 regionshold,Estàdio Municipal,Uofficiel landskamp,Herrer,U16-landshold,500,2007-04-07
07-04-2014,2 - 2,Finland,Töölö Stadium,EM-kvalifikationskamp,Kvinder,U19-landshold,101,2014-04-07
07-04-2015,1 - 2,Rumænien,Dan Paltinisanu Stadium,Testkamp,Herrer,U18-landshold,433,2015-04-07
07-04-2016,0 - 0,Polen,Stadion Miejski,EM-kvalifikationskamp,Kvinder,A-Landshold,5438,2016-04-07
07-04-2016,1 - 1,Italien,DS Arena,EM-kvalifikationskamp,Kvinder,U19-landshold,805,2016-04-07
07-04-2016,3 - 1,Tjekkiet,Loughborough University,UEFA turnering,Kvinder,U16-landshold,62,2016-04-07
07-04-2017,0 - 2,England,Arslan Zeki Demirci Spor Kompleksi,EM-kvalifikationskamp,Kvinder,U19-landshold,0,2017-04-07
07-04-2019,2 - 1,Tyrkiet,"GOK ""Perla"" Stadium",UEFA turnering,Kvinder,U16-landshold,0,2019-04-07
07-04-2021,2 - 6,Ukraine,NA,EM-kvalifikationskamp,Herrer,Futsallandsholdet,0,2021-04-07
07-04-2022,2 - 2,Cypern,Utleirahallen,VM-kvalifikationskamp,Herrer,Futsallandsholdet,0,2022-04-07
07-04-2022,3 - 1,Schweiz,GC-Campus,Testkamp,Herrer,U16-landshold,0,2022-04-07
07-04-2023,1 - 0,Sverige,Eleda Stadion,Testkamp,Kvinder,A-Landshold,8334,2023-04-07
07-05-1980,1 - 0,Sverige,Nya Ullevi,NM,Herrer,A-Landshold,20179,1980-05-07
07-05-1985,0 - 0,DDR,NA,Testkamp,Herrer,U21-landshold,1500,1985-05-07
07-05-1992,1 - 0,Finland,NA,EM-slutrunde,Herrer,U17-landshold,200,1992-05-07
07-05-1993,2 - 2,Sverige,NA,Testkamp,Kvinder,U17-landshold,0,1993-05-07
07-05-2001,2 - 1,Tyrkiet,NA,Piestany Cup,Herrer,U19-landshold,200,2001-05-07
07-05-2002,3 - 1,Norge,NA,EM-slutrunde,Kvinder,U19-landshold,0,2002-05-07
07-05-2003,2 - 3,Portugal,NA,EM-slutrunde,Herrer,U17-landshold,6000,2003-05-07
07-05-2006,3 - 1,Polen,Brøndby Stadion,VM-kvalifikationskamp,Kvinder,A-Landshold,1643,2006-05-07
07-06-1972,3 - 0,Finland,Københavns Idrætspark,NM,Herrer,A-Landshold,22300,1972-06-07
07-06-1972,4 - 0,Finland,NA,NM,Herrer,U21-landshold,1727,1972-06-07
07-06-1973,1 - 4,Polen,NA,EM-kvalifikationskamp,Herrer,U21-landshold,500,1973-06-07
07-06-1979,1 - 4,Finland,Urheilukeskus,OL-kvalifikationskamp,Herrer,Amatørlandsholdet,5000,1979-06-07
07-06-1989,1 - 1,England,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,18400,1989-06-07
07-06-1990,3 - 2,Norge,NA,Testkamp,Herrer,U21-landshold,1470,1990-06-07
07-06-1995,4 - 0,Cypern,Brøndby Stadion,EM/OL-kvalifikation,Herrer,U21-landshold,200,1995-06-07
07-06-1995,4 - 0,Cypern,Parken,EM-kvalifikationskamp,Herrer,A-Landshold,40199,1995-06-07
07-06-2003,1 - 0,Norge,Parken,EM-kvalifikationskamp,Herrer,A-Landshold,41824,2003-06-07
07-06-2005,7 - 0,Albanien,Farum Park,EM-kvalifikationskamp,Herrer,U21-landshold,1343,2005-06-07
07-06-2013,1 - 0,Estland,Kadriorg Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,434,2013-06-07
07-06-2016,4 - 0,Bulgarien,Suita City Football Stadium,International turnering,Herrer,A-Landshold,14226,2016-06-07
07-06-2016,6 - 0,Polen,Viborg Stadion,EM-kvalifikationskamp,Kvinder,A-Landshold,4611,2016-06-07
07-06-2019,1 - 1,Irland,Parken,EM-kvalifikationskamp,Herrer,A-Landshold,34610,2019-06-07
07-06-2019,1 - 2,Island,Casa Arena,Testkamp,Herrer,U20-landshold,204,2019-06-07
07-07-1970,0 - 0,Island,Laurgardalsvöllur,Testkamp,Herrer,A-Landshold,8000,1970-07-07
07-07-1978,4 - 0,Finland,Kolding Stadion,NM,Kvinder,A-Landshold,300,1978-07-07
07-07-1993,0 - 5,England,Nykøbing Sjælland Stadion,Testkamp,Herrer,U19-landshold,2200,1993-07-07
07-07-1996,2 - 0,Canada,NA,Testkamp,Kvinder,A-Landshold,0,1996-07-07
07-07-1996,2 - 0,Sverige,NA,Nordic Cup,Kvinder,U17-landshold,0,1996-07-07
07-07-2000,1 - 1,Island,NA,Nordic Cup,Kvinder,U17-landshold,0,2000-07-07
07-07-2001,3 - 2,Finland,NA,Nordic Cup,Kvinder,U17-landshold,0,2001-07-07
07-07-2005,2 - 4,Norge,NA,Nordic Cup,Kvinder,U17-landshold,75,2005-07-07
07-07-2007,4 - 1,Island,Ottestad Stadion,Nordic Cup,Kvinder,U17-landshold,79,2007-07-07
07-07-2010,0 - 3,USA,Hillerød Stadion,Nordic Cup,Kvinder,U16-landshold,0,2010-07-07
07-07-2011,0 - 1,Holland,Keuruun keskusurheilukenttä,Open Nordic Cup,Kvinder,U16-landshold,138,2011-07-07
07-07-2014,0 - 4,Norge,NA,Nordic Cup,Kvinder,U16-landshold,324,2014-07-07
07-07-2016,4 - 3,Sverige,NA,Nordic Cup,Kvinder,U16-landshold,0,2016-07-07
07-07-2021,1 - 2,England,Wembley,EM-slutrunde,Herrer,A-Landshold,64950,2021-07-07
07-07-2022,1 - 1,Norge,Strømmen,Open Nordic Cup,Kvinder,U16-landshold,210,2022-07-07
07-07-2024,4 - 3,Sverige,NA,Open Nordic Cup,Kvinder,U16-landshold,61,2024-07-07
07-08-1949,5 - 1,Island,Ceres Park,Testkamp,Herrer,A-Landshold,12000,1949-08-07
07-08-1971,0 - 0,Holland,NA,International turnering,Herrer,U19-landshold,0,1971-08-07
07-08-1991,4 - 1,England,NA,Internordisk turnering,Herrer,U17-landshold,0,1991-08-07
07-08-1992,7 - 2,Finland,NA,Internordisk turnering,Herrer,U17-landshold,0,1992-08-07
07-08-1993,0 - 0,Norge,NA,Internordisk turnering,Herrer,U17-landshold,50,1993-08-07
07-08-1993,2 - 1,Finland,Ishøj Stadion,Open Nordic Cup,Kvinder,U21-landshold,0,1993-08-07
07-08-1994,1 - 3,Finland,Hedensted Stadion,Internordisk turnering,Herrer,U17-landshold,238,1994-08-07
07-08-1994,4 - 1,Finland,NA,Open Nordic Cup,Kvinder,U21-landshold,0,1994-08-07
07-08-1996,1 - 3,England,NA,Internordisk turnering,Herrer,U17-landshold,0,1996-08-07
07-08-1997,1 - 3,USA,Korsør Stadion,Open Nordic Cup,Kvinder,U21-landshold,0,1997-08-07
07-08-1998,1 - 1,Tyskland,NA,Open Nordic Cup,Kvinder,U21-landshold,0,1998-08-07
07-08-1998,3 - 0,Island,NA,Internordisk turnering,Herrer,U17-landshold,0,1998-08-07
07-08-2002,4 - 0,Tyskland,Nakskov Idrætspark,Testkamp,Kvinder,U19-landshold,0,2002-08-07
07-08-2005,1 - 1,Sverige,Fjölnisvöllur,Internordisk turnering,Herrer,U17-landshold,30,2005-08-07
07-08-2011,0 - 1,Island,Thorsvöllur,Internordisk turnering,Herrer,U17-landshold,637,2011-08-07
07-08-2012,1 - 3,Sverige,Magáir,Internordisk turnering,Herrer,U17-landshold,84,2012-08-07
07-08-2013,2 - 2,Grækenland,Gladsaxe Stadion,EM-kvalifikationskamp,Kvinder,U17-landshold,256,2013-08-07
07-08-2014,1 - 1,Slovakiet,NTC Dunajska Luzna,Testkamp,Kvinder,U19-landshold,312,2014-08-07
07-08-2015,1 - 1,Finland,Hagforsvallen,Internordisk turnering,Herrer,U17-landshold,312,2015-08-07
07-08-2016,1 - 0,Sydafrika,Mané Garricha Stadium,OL-slutrunde,Herrer,U21-landshold,10000,2016-08-07
07-08-2016,1 - 2,Finland,NA,Internordisk turnering,Herrer,U17-landshold,572,2016-08-07
07-08-2018,1 - 0,Nordirland,Gundadalur Stadion,Internordisk turnering,Herrer,U17-landshold,30,2018-08-07
07-08-2019,7 - 5,Mexico,Otterup Stadion,Internordisk turnering,Herrer,U17-landshold,0,2019-08-07
07-08-2021,1 - 0,Sverige,Hvidovre Stadion,Testkamp,Herrer,U17-landshold,385,2021-08-07
07-08-2023,0 - 2,Australien,Stadium Australia,VM-slutrunde,Kvinder,A-Landshold,75784,2023-08-07
07-09-1930,6 - 3,Tyskland,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,20000,1930-09-07
07-09-1977,3 - 0,DDR,Tårnby Stadion,Testkamp,Herrer,U19-landshold,282,1977-09-07
07-09-1983,3 - 1,Frankrig,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,17500,1983-09-07
07-09-1994,1 - 1,Nordmakedonien,Gradski Stadium,EM-kvalifikationskamp,Herrer,A-Landshold,22000,1994-09-07
07-09-1994,3 - 5,Nordmakedonien,NA,EM/OL-kvalifikation,Herrer,U21-landshold,7000,1994-09-07
07-09-1996,1 - 0,Holland,Vanløse Idrætspark,International turnering,Herrer,U19-landshold,250,1996-09-07
07-09-1996,7 - 1,Portugal,NA,EM-kvalifikationskamp,Kvinder,A-Landshold,3000,1996-09-07
07-09-1997,0 - 1,Slovakiet,NA,Syrenka Cup,Herrer,U17-landshold,0,1997-09-07
07-09-2000,2 - 0,Finland,NA,Syrenka Cup,Herrer,U17-landshold,0,2000-09-07
07-09-2001,0 - 2,Polen,NA,Syrenka Cup,Herrer,U17-landshold,0,2001-09-07
07-09-2001,4 - 5,Schweiz,Odense Atletikstadion,Testkamp,Kvinder,U19-landshold,200,2001-09-07
07-09-2002,2 - 2,Norge,Ullevaal,EM-kvalifikationskamp,Herrer,A-Landshold,25114,2002-09-07
07-09-2003,1 - 3,Sverige,Malmö Idrottsplats,Testkamp,Kvinder,A-Landshold,3874,2003-09-07
07-09-2004,4 - 3,Slovakiet,Hørdum Stadion,Testkamp,Herrer,U18-landshold,1200,2004-09-07
07-09-2005,6 - 1,Georgien,Parken,VM-kvalifikationskamp,Herrer,A-Landshold,27177,2005-09-07
07-09-2006,0 - 0,Portugal,Nakskov Idrætspark,Testkamp,Herrer,U19-landshold,250,2006-09-07
07-09-2007,4 - 0,Litauen,Aalborg Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,4843,2007-09-07
07-09-2008,0 - 1,Holland,NA,Testkamp,Kvinder,U19-landshold,276,2008-09-07
07-09-2008,1 - 1,Holland,NA,Testkamp,Kvinder,U17-landshold,125,2008-09-07
07-09-2010,1 - 0,Island,Parken,EM-kvalifikationskamp,Herrer,A-Landshold,18908,2010-09-07
07-09-2012,1 - 1,Serbien,Aalborg Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,4197,2012-09-07
07-09-2014,2 - 1,Armenien,Parken,EM-kvalifikationskamp,Herrer,A-Landshold,20141,2014-09-07
07-09-2015,0 - 0,Armenien,Vazgen Sargsyan anvan Hanrapetakan Marzadasht,EM-kvalifikationskamp,Herrer,A-Landshold,3500,2015-09-07
07-09-2015,5 - 0,Sverige,Kastvallen,Testkamp,Herrer,U19-landshold,618,2015-09-07
07-09-2018,2 - 0,Finland,Aalborg Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,0,2018-09-07
07-09-2018,2 - 1,Norge,Hille IP,International turnering,Herrer,U19-landshold,0,2018-09-07
07-09-2019,0 - 1,Mexico,Sportspark De Bosk,International turnering,Herrer,U18-landshold,205,2019-09-07
07-09-2020,5 - 5,Tyskland,NA,Testkamp,Herrer,U18-landshold,0,2020-09-07
07-09-2021,1 - 0,Kasakhstan,Astana Arena,EM-kvalifikationskamp,Herrer,U21-landshold,1961,2021-09-07
07-09-2021,1 - 0,Polen,Melløs Stadion,International turnering,Herrer,U19-landshold,0,2021-09-07
07-09-2021,1 - 2,Sverige,Selånger IP,Testkamp,Herrer,U18-landshold,600,2021-09-07
07-09-2021,5 - 0,Israel,Parken,VM-kvalifikationskamp,Herrer,A-Landshold,35158,2021-09-07
07-09-2022,4 - 2,Skotland,Pinatar Arena,Testkamp,Herrer,U16-landshold,185,2022-09-07
07-09-2023,1 - 0,Polen,MCH Arena,International turnering,Herrer,U19-landshold,1045,2023-09-07
07-09-2023,1 - 3,Italien,Sportpark Nord Bonn,International turnering,Herrer,U17-landshold,0,2023-09-07
07-09-2023,4 - 0,San Marino,Parken,EM-kvalifikationskamp,Herrer,A-Landshold,36262,2023-09-07
07-09-2023,4 - 1,Frankrig,Stade Marcel Picot,Testkamp,Herrer,U21-landshold,15000,2023-09-07
07-10-1917,12 - 0,Norge,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,15000,1917-10-07
07-10-1928,3 - 1,Sverige,Københavns Idrætspark,NM,Herrer,A-Landshold,28000,1928-10-07
07-10-1934,2 - 5,Tyskland,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,30000,1934-10-07
07-10-1987,1 - 0,Norge,Ullevaal,EM-kvalifikationskamp,Kvinder,A-Landshold,436,1987-10-07
07-10-1987,2 - 0,Polen,Frederiksberg Stadion,EM-kvalifikationskamp,Herrer,U19-landshold,500,1987-10-07
07-10-2000,1 - 1,Nordirland,Windsor Park,VM-kvalifikationskamp,Herrer,A-Landshold,11823,2000-10-07
07-10-2005,2 - 1,Grækenland,Farum Park,EM-kvalifikationskamp,Herrer,U21-landshold,1047,2005-10-07
07-10-2006,0 - 0,Nordirland,Parken,EM-kvalifikationskamp,Herrer,A-Landshold,41482,2006-10-07
07-10-2010,0 - 0,Schweiz,Aarau,VM-kvalifikationskamp,Kvinder,A-Landshold,0,2010-10-07
07-10-2010,0 - 2,Ukraine,NA,EM-kvalifikationskamp,Herrer,U19-landshold,185,2010-10-07
07-10-2011,4 - 0,Færøerne,Aalborg Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,1550,2011-10-07
07-10-2011,4 - 0,Malta,Ertl Glas-Stadion,EM-kvalifikationskamp,Herrer,U19-landshold,75,2011-10-07
07-10-2011,4 - 1,Cypern,GSP Stadium,EM-kvalifikationskamp,Herrer,A-Landshold,2408,2011-10-07
07-10-2016,3 - 0,Bulgarien,Beroe Stadium,EM-kvalifikationskamp,Herrer,U21-landshold,600,2016-10-07
07-10-2017,2 - 2,Sverige,Sandbyvallen,Testkamp,Herrer,U20-landshold,983,2017-10-07
07-10-2017,3 - 4,Tyskland,Løgumkloster Stadion,Testkamp,Herrer,U17-landshold,387,2017-10-07
07-10-2019,8 - 1,Malaysia,Changshu Sports Center,International turnering,Herrer,Futsallandsholdet,215,2019-10-07
07-10-2020,4 - 0,Færøerne,MCH Arena,Testkamp,Herrer,A-Landshold,207,2020-10-07
07-10-2021,1 - 0,Skotland,Tynecastle Park,EM-kvalifikationskamp,Herrer,U21-landshold,473,2021-10-07
07-10-2022,7 - 0,Estland,Lilleküla,EM-kvalifikationskamp,Kvinder,U17-landshold,109,2022-10-07
07-10-2023,0 - 10,Brasilien,Arena Nord,Testkamp,Herrer,Futsallandsholdet,0,2023-10-07
07-11-1992,1 - 1,Sverige,Hjørring Stadion,EM-kvalifikationskamp,Kvinder,A-Landshold,609,1992-11-07
07-11-2001,1 - 2,Bulgarien,NA,EM-kvalifikationskamp,Herrer,U19-landshold,50,2001-11-07
07-11-2015,2 - 2,Grønland,NA,Testkamp,Herrer,Futsallandsholdet,1300,2015-11-07
07-11-2019,1 - 1,Tyskland,Capelli Sport Stadion,Testkamp,Kvinder,U16-landshold,150,2019-11-07
07-11-2023,6 - 0,Belarus,Elbasan Arena,EM-kvalifikationskamp,Kvinder,U17-landshold,0,2023-11-07
07-12-1977,0 - 1,Skotland,NA,EM-kvalifikationskamp,Herrer,U19-landshold,1200,1977-12-07
07-12-1999,1 - 1,Paraguay,NA,Testkamp,Herrer,U21-landshold,2500,1999-12-07
07-12-2013,3 - 5,Finland,Pricerunner Arena,Nordic Futsal Cup,Herrer,Futsallandsholdet,600,2013-12-07
07-12-2014,2 - 2,Sverige,Martinhalli,Nordic Futsal Cup,Herrer,Futsallandsholdet,115,2014-12-07
07-12-2018,7 - 1,Grønland,Ringkøbing-Skjern Kulturcenter,Nordic Futsal Cup,Herrer,Futsallandsholdet,0,2018-12-07
08-01-1995,2 - 0,Saudi Arabien,King Fahd International Stadium,Intercontinal Cup,Herrer,A-Landshold,5000,1995-01-08
08-01-2017,4 - 0,San Marino,Žatika Sport Center,International turnering,Herrer,Futsallandsholdet,0,2017-01-08
08-02-1978,0 - 2,Israel,Ramat Gan Stadion,Testkamp,Herrer,A-Landshold,3000,1978-02-08
08-02-1989,2 - 0,Malta,Ta'Qali National Stadium,International turnering,Herrer,A-Landshold,18000,1989-02-08
08-02-2000,1 - 3,Nordirland,NA,Testkamp,Herrer,U19-landshold,500,2000-02-08
08-02-2001,0 - 1,Forende Arabiske Emirater,Al Nasr Stadium,Uofficiel landskamp,Herrer,Ligalandshold,2500,2001-02-08
08-02-2005,1 - 0,Grækenland,Georgios Kamaras Stadium,EM-kvalifikationskamp,Herrer,U21-landshold,2400,2005-02-08
08-02-2005,3 - 1,Tjekkiet,La Manga,International turnering,Herrer,U19-landshold,50,2005-02-08
08-02-2007,3 - 2,Tjekkiet,NA,Copa del Atlántico,Herrer,U19-landshold,150,2007-02-08
08-02-2010,2 - 1,Holland,La Manga,International turnering,Herrer,U17-landshold,90,2010-02-08
08-02-2011,1 - 2,Spanien,El estadio Pedro Escartin,Testkamp,Herrer,U21-landshold,5400,2011-02-08
08-02-2011,5 - 1,Norge,La Manga,International turnering,Herrer,U17-landshold,125,2011-02-08
08-02-2014,0 - 2,Norge,La Manga,International turnering,Herrer,U19-landshold,120,2014-02-08
08-02-2018,2 - 1,Irland,National Sports Campus Ireland,Testkamp,Kvinder,U17-landshold,0,2018-02-08
08-02-2023,1 - 2,Tyrkiet,Žatika Sport Center,Testkamp,Herrer,U17-landshold,89,2023-02-08
08-03-1986,0 - 3,England,NA,Testkamp,Herrer,U17-landshold,300,1986-03-08
08-03-1994,0 - 1,England,NA,Testkamp,Herrer,U21-landshold,11553,1994-03-08
08-03-1995,4 - 0,Spanien,NA,Testkamp,Herrer,U19-landshold,6000,1995-03-08
