Dato,Resultat,Modstander,Spillested,Kamptype,Køn,Hold,Tilskuere,date
01-06-2001,3 - 4,Tjekkiet,Odense Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,976,2001-06-01
01-06-2002,2 - 1,Uruguay,Ulsan Munsu Football Stadium,VM-slutrunde,Herrer,A-Landshold,30157,2002-06-01
01-06-2005,1 - 2,Finland,Arto Tolsa Areena,Testkamp,Herrer,U21-landshold,1430,2005-06-01
01-06-2008,1 - 1,Polen,Stadium Slaski,Testkamp,Herrer,A-Landshold,40000,2008-06-01
01-06-2010,0 - 1,Australien,Ruimsig Stadium,Testkamp,Herrer,A-Landshold,3000,2010-06-01
01-06-2022,5 - 0,Ungarn,Budaörs Stadium,Testkamp,Herrer,U18-landshold,256,2022-06-01
01-07-1945,3 - 4,Sverige,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,39000,1945-07-01
01-07-1952,5 - 1,Norge,Københavns Idrætspark,Testkamp,Herrer,U19-landshold,3500,1952-07-01
01-07-1956,2 - 5,Sovjetunionen,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,45000,1956-07-01
01-07-1969,6 - 0,Bermuda,Aalborg Stadion,Testkamp,Herrer,A-Landshold,12200,1969-07-01
01-07-1990,2 - 2,Norge,NA,NM,Kvinder,U17-landshold,0,1990-07-01
01-07-1991,6 - 1,Holland,NA,Open Nordic Cup,Kvinder,U17-landshold,0,1991-07-01
01-07-1992,2 - 0,Island,Vildbjerg Stadion,Open Nordic Cup,Kvinder,U17-landshold,0,1992-07-01
01-07-1998,2 - 0,Finland,NA,Nordic Cup,Kvinder,U17-landshold,0,1998-07-01
01-07-1999,2 - 1,Finland,NA,Nordic Cup,Kvinder,U17-landshold,0,1999-07-01
01-07-2001,1 - 0,Norge,Aalen Stadion,EM-slutrunde,Kvinder,A-Landshold,3480,2001-07-01
01-07-2001,2 - 2,Sverige,NA,Nordic Cup,Kvinder,U17-landshold,0,2001-07-01
01-07-2008,0 - 8,Tyskland,NA,Nordic Cup,Kvinder,U16-landshold,35,2008-07-01
01-07-2013,4 - 3,England,Hertz Völlurinn Stadion,Nordic Cup,Kvinder,U16-landshold,56,2013-07-01
01-07-2016,2 - 4,Island,Bellevue,Nordic Cup,Kvinder,U16-landshold,0,2016-07-01
01-07-2017,1 - 2,England,Gladsaxe Stadion,Testkamp,Kvinder,A-Landshold,2964,2017-07-01
01-07-2018,1 - 1,Kroatien,Nizhny Novgorod Stadium,VM-slutrunde,Herrer,A-Landshold,40851,2018-07-01
01-07-2022,6 - 0,Færøerne,Jessheim Stadion,Open Nordic Cup,Kvinder,U16-landshold,80,2022-07-01
01-07-2024,0 - 5,Holland,NA,Open Nordic Cup,Kvinder,U16-landshold,72,2024-07-01
01-08-1971,3 - 2,England,Aalborg Stadion,Testkamp,Herrer,A-Landshold,9500,1971-08-01
01-08-1974,0 - 0,Norge,NA,International turnering,Herrer,U19-landshold,0,1974-08-01
01-08-1975,4 - 2,Vesttyskland,NA,Internordisk turnering,Herrer,U17-landshold,0,1975-08-01
01-08-1980,0 - 1,Sverige,NA,Testkamp,Herrer,U17-landshold,1045,1980-08-01
01-08-1981,0 - 2,Finland,NA,EM-kvalifikationskamp,Herrer,U17-landshold,300,1981-08-01
01-08-1982,2 - 1,Finland,NA,Internordisk turnering,Herrer,U17-landshold,230,1982-08-01
01-08-1985,1 - 3,England,NA,Internordisk turnering,Herrer,U17-landshold,0,1985-08-01
01-08-1986,4 - 3,Norge,Thurø Stadion,Internordisk turnering,Herrer,U17-landshold,500,1986-08-01
01-08-1988,2 - 0,Finland,NA,Internordisk turnering,Herrer,U17-landshold,100,1988-08-01
01-08-1990,0 - 0,Norge,NA,Internordisk turnering,Herrer,U17-landshold,200,1990-08-01
01-08-1994,2 - 0,Norge,NA,Open Nordic Cup,Kvinder,U21-landshold,0,1994-08-01
01-08-1996,3 - 1,Holland,NA,Open Nordic Cup,Kvinder,U21-landshold,0,1996-08-01
01-08-2000,0 - 0,England,NA,Internordisk turnering,Herrer,U17-landshold,0,2000-08-01
01-08-2000,3 - 1,Island,NA,Open Nordic Cup,Kvinder,U21-landshold,0,2000-08-01
01-08-2001,2 - 0,Sverige,Vejle Stadion,Internordisk turnering,Herrer,U17-landshold,400,2001-08-01
01-08-2003,1 - 0,Island,NA,Internordisk turnering,Herrer,U17-landshold,500,2003-08-01
01-08-2003,1 - 1,Schweiz,NA,Ungdoms OL,Kvinder,U17-landshold,0,2003-08-01
