country_code,name,path,sha,download_url
cw,cw.json,tv/raw/countries/cw.json,1735c8d9c37d613db8ed4a0120e2e9ec66bf321f,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/cw.json
cy,cy.json,tv/raw/countries/cy.json,8d1881f3b612289aa511fcbddeafec45df252276,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/cy.json
cz,cz.json,tv/raw/countries/cz.json,bc7787ac8528eff5c79722c4faf19a0a7e0f1ff9,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/cz.json
de,de.json,tv/raw/countries/de.json,afa3bc2d53a4bff5988e9e84800e82930a8e6ca9,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/de.json
dj,dj.json,tv/raw/countries/dj.json,72a592f592a53671488b41eeac98043022c7f1ed,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/dj.json
dk,dk.json,tv/raw/countries/dk.json,4008e805f042fd2e7505b126862347e60e7e6270,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/dk.json
do,do.json,tv/raw/countries/do.json,fafa71979c64f593f87639857e0abba1a9e729d8,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/do.json
dz,dz.json,tv/raw/countries/dz.json,7682ee37c59ce854a7858014d799949a2b9bb714,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/dz.json
ec,ec.json,tv/raw/countries/ec.json,1f30af9159af230f4c68287c3c6297fd7d36a69f,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/ec.json
ee,ee.json,tv/raw/countries/ee.json,a344405ae5532e571e0ef0fc677deb4dff49dafe,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/ee.json
eg,eg.json,tv/raw/countries/eg.json,fc840cf438c09754f1baf99754bb7b4fc3f37260,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/eg.json
eh,eh.json,tv/raw/countries/eh.json,a941aa7d73a4c259f2a56185336c00d15b098556,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/eh.json
er,er.json,tv/raw/countries/er.json,1dc4a830b4b7875cd5b7f0e631d2dbe1cdc286cd,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/er.json
es,es.json,tv/raw/countries/es.json,0e3ce580263653f816675b48ac80dd4cbb17b469,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/es.json
fi,fi.json,tv/raw/countries/fi.json,b7d6d8bdd08b6631b841dda7c4618e42f5206f83,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/fi.json
fo,fo.json,tv/raw/countries/fo.json,f016d2508c88efed7725f0c2eaa85073906e1bd4,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/fo.json
fr,fr.json,tv/raw/countries/fr.json,a0cc419fd6dda0af01046098cd98ef62002c2cf9,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/fr.json
ge,ge.json,tv/raw/countries/ge.json,aa837e3ef85dbf92adc9c010ab1df7e8e72ba0b2,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/ge.json
gf,gf.json,tv/raw/countries/gf.json,b6b7e2532f082f75b077f465adf6a12677bfc10e,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/countries/gf.json
